Time,FRET,Enzyme,RNA,DNA
0,0.529077118,0,1.00E-07,5.00E-07
0,0.50513347,0,1.00E-07,5.00E-07
0,0.493295019,0,1.00E-07,5.00E-07
0,0.527837259,0,1.00E-07,5.00E-07
151.63,0.570212766,0,1.00E-07,5.00E-07
151.63,0.520132989,0,1.00E-07,5.00E-07
151.63,0.615780446,0,1.00E-07,5.00E-07
151.63,0.593177511,0,1.00E-07,5.00E-07
279.788,0.544672402,0,1.00E-07,5.00E-07
279.788,0.532577904,0,1.00E-07,5.00E-07
279.788,0.574200913,0,1.00E-07,5.00E-07
279.788,0.596926714,0,1.00E-07,5.00E-07
407.946,0.546323772,0,1.00E-07,5.00E-07
407.946,0.547889908,0,1.00E-07,5.00E-07
407.946,0.508006626,0,1.00E-07,5.00E-07
407.946,0.511910322,0,1.00E-07,5.00E-07
536.104,0.535810811,0,1.00E-07,5.00E-07
536.104,0.551092319,0,1.00E-07,5.00E-07
536.104,0.561784897,0,1.00E-07,5.00E-07
536.104,0.612559242,0,1.00E-07,5.00E-07
664.262,0.52406932,0,1.00E-07,5.00E-07
664.262,0.521305842,0,1.00E-07,5.00E-07
664.262,0.580490724,0,1.00E-07,5.00E-07
664.262,0.631261316,0,1.00E-07,5.00E-07
792.42,0.526085598,0,1.00E-07,5.00E-07
792.42,0.508145581,0,1.00E-07,5.00E-07
792.42,0.563139932,0,1.00E-07,5.00E-07
792.42,0.594438007,0,1.00E-07,5.00E-07
920.578,0.519808307,0,1.00E-07,5.00E-07
920.578,0.515223275,0,1.00E-07,5.00E-07
920.578,0.588362069,0,1.00E-07,5.00E-07
920.578,0.556626506,0,1.00E-07,5.00E-07
1048.736,0.534962871,0,1.00E-07,5.00E-07
1048.736,0.497897687,0,1.00E-07,5.00E-07
1048.736,0.546095126,0,1.00E-07,5.00E-07
1048.736,0.600331675,0,1.00E-07,5.00E-07
1176.894,0.515987461,0,1.00E-07,5.00E-07
1176.894,0.519337017,0,1.00E-07,5.00E-07
1176.894,0.557692308,0,1.00E-07,5.00E-07
1176.894,0.611431871,0,1.00E-07,5.00E-07
1305.052,0.523153942,0,1.00E-07,5.00E-07
1305.052,0.511418685,0,1.00E-07,5.00E-07
1305.052,0.563449024,0,1.00E-07,5.00E-07
1305.052,0.566705336,0,1.00E-07,5.00E-07
1433.21,0.512203059,0,1.00E-07,5.00E-07
1433.21,0.523066711,0,1.00E-07,5.00E-07
1433.21,0.545350172,0,1.00E-07,5.00E-07
1433.21,0.562829989,0,1.00E-07,5.00E-07
1561.368,0.514669495,0,1.00E-07,5.00E-07
1561.368,0.520110531,0,1.00E-07,5.00E-07
1561.368,0.551330798,0,1.00E-07,5.00E-07
1561.368,0.533866667,0,1.00E-07,5.00E-07
1689.526,0.520516963,0,1.00E-07,5.00E-07
1689.526,0.514543631,0,1.00E-07,5.00E-07
1689.526,0.515976951,0,1.00E-07,5.00E-07
1689.526,0.511662531,0,1.00E-07,5.00E-07
1817.684,0.520511096,0,1.00E-07,5.00E-07
1817.684,0.514781491,0,1.00E-07,5.00E-07
1817.684,0.510070258,0,1.00E-07,5.00E-07
1817.684,0.509060956,0,1.00E-07,5.00E-07
1945.842,0.512007115,0,1.00E-07,5.00E-07
1945.842,0.524511611,0,1.00E-07,5.00E-07
1945.842,0.532348446,0,1.00E-07,5.00E-07
1945.842,0.487205218,0,1.00E-07,5.00E-07
0,0.511173184,1.00E-06,1.00E-07,5.00E-07
0,0.502785515,1.00E-06,1.00E-07,5.00E-07
211.63,0.528464017,1.00E-06,1.00E-07,5.00E-07
211.63,0.537250787,1.00E-06,1.00E-07,5.00E-07
399.788,0.534369885,1.00E-06,1.00E-07,5.00E-07
399.788,0.536090226,1.00E-06,1.00E-07,5.00E-07
587.946,0.535464903,1.00E-06,1.00E-07,5.00E-07
587.946,0.539297356,1.00E-06,1.00E-07,5.00E-07
776.104,0.503703704,1.00E-06,1.00E-07,5.00E-07
776.104,0.540355677,1.00E-06,1.00E-07,5.00E-07
964.262,0.5093361,1.00E-06,1.00E-07,5.00E-07
964.262,0.503057065,1.00E-06,1.00E-07,5.00E-07
1152.42,0.47805789,1.00E-06,1.00E-07,5.00E-07
1152.42,0.477943325,1.00E-06,1.00E-07,5.00E-07
1340.578,0.417491749,1.00E-06,1.00E-07,5.00E-07
1340.578,0.427679158,1.00E-06,1.00E-07,5.00E-07
1528.736,0.390815085,1.00E-06,1.00E-07,5.00E-07
1528.736,0.390815085,1.00E-06,1.00E-07,5.00E-07
1716.894,0.388688946,1.00E-06,1.00E-07,5.00E-07
1716.894,0.386106624,1.00E-06,1.00E-07,5.00E-07
1905.052,0.354691076,1.00E-06,1.00E-07,5.00E-07
1905.052,0.34218916,1.00E-06,1.00E-07,5.00E-07
2093.21,0.365883807,1.00E-06,1.00E-07,5.00E-07
2093.21,0.296878613,1.00E-06,1.00E-07,5.00E-07
2281.368,0.30807406,1.00E-06,1.00E-07,5.00E-07
2281.368,0.293285515,1.00E-06,1.00E-07,5.00E-07
2469.526,0.273744856,1.00E-06,1.00E-07,5.00E-07
2469.526,0.284450063,1.00E-06,1.00E-07,5.00E-07
2657.684,0.248182762,1.00E-06,1.00E-07,5.00E-07
2657.684,0.230349014,1.00E-06,1.00E-07,5.00E-07
2845.842,0.219422813,1.00E-06,1.00E-07,5.00E-07
2845.842,0.228321116,1.00E-06,1.00E-07,5.00E-07
0,0.505995204,2.00E-06,1.00E-07,5.00E-07
211.63,0.527096997,2.00E-06,1.00E-07,5.00E-07
399.788,0.549143944,2.00E-06,1.00E-07,5.00E-07
587.946,0.504792332,2.00E-06,1.00E-07,5.00E-07
776.104,0.496890117,2.00E-06,1.00E-07,5.00E-07
964.262,0.507857734,2.00E-06,1.00E-07,5.00E-07
1152.42,0.457198444,2.00E-06,1.00E-07,5.00E-07
1340.578,0.357544757,2.00E-06,1.00E-07,5.00E-07
1528.736,0.306112778,2.00E-06,1.00E-07,5.00E-07
1716.894,0.288040504,2.00E-06,1.00E-07,5.00E-07
1905.052,0.239835488,2.00E-06,1.00E-07,5.00E-07
2093.21,0.224510604,2.00E-06,1.00E-07,5.00E-07
2281.368,0.245469848,2.00E-06,1.00E-07,5.00E-07
2469.526,0.218000865,2.00E-06,1.00E-07,5.00E-07
2657.684,0.221974759,2.00E-06,1.00E-07,5.00E-07
2845.842,0.224010671,2.00E-06,1.00E-07,5.00E-07
0,0.503046716,3.00E-06,1.00E-07,5.00E-07
0,0.502,3.00E-06,1.00E-07,5.00E-07
0,0.520902455,3.00E-06,1.00E-07,5.00E-07
211.63,0.548726655,3.00E-06,1.00E-07,5.00E-07
211.63,0.518410499,3.00E-06,1.00E-07,5.00E-07
211.63,0.531014701,3.00E-06,1.00E-07,5.00E-07
399.788,0.513828239,3.00E-06,1.00E-07,5.00E-07
399.788,0.483794466,3.00E-06,1.00E-07,5.00E-07
399.788,0.532458564,3.00E-06,1.00E-07,5.00E-07
587.946,0.472043375,3.00E-06,1.00E-07,5.00E-07
587.946,0.475917817,3.00E-06,1.00E-07,5.00E-07
587.946,0.479799562,3.00E-06,1.00E-07,5.00E-07
776.104,0.416959358,3.00E-06,1.00E-07,5.00E-07
776.104,0.402846196,3.00E-06,1.00E-07,5.00E-07
776.104,0.404919016,3.00E-06,1.00E-07,5.00E-07
964.262,0.343521722,3.00E-06,1.00E-07,5.00E-07
964.262,0.301742016,3.00E-06,1.00E-07,5.00E-07
964.262,0.367038049,3.00E-06,1.00E-07,5.00E-07
1152.42,0.275268817,3.00E-06,1.00E-07,5.00E-07
1152.42,0.266808317,3.00E-06,1.00E-07,5.00E-07
1152.42,0.276300578,3.00E-06,1.00E-07,5.00E-07
1340.578,0.218742075,3.00E-06,1.00E-07,5.00E-07
1340.578,0.205867149,3.00E-06,1.00E-07,5.00E-07
1340.578,0.235160337,3.00E-06,1.00E-07,5.00E-07
1528.736,0.198627152,3.00E-06,1.00E-07,5.00E-07
1528.736,0.190672589,3.00E-06,1.00E-07,5.00E-07
1528.736,0.215039195,3.00E-06,1.00E-07,5.00E-07
1716.894,0.202094537,3.00E-06,1.00E-07,5.00E-07
1716.894,0.184350919,3.00E-06,1.00E-07,5.00E-07
1716.894,0.229481173,3.00E-06,1.00E-07,5.00E-07
1905.052,0.169230769,3.00E-06,1.00E-07,5.00E-07
1905.052,0.169230769,3.00E-06,1.00E-07,5.00E-07
1905.052,0.19486761,3.00E-06,1.00E-07,5.00E-07
2093.21,0.16852476,3.00E-06,1.00E-07,5.00E-07
2093.21,0.16852476,3.00E-06,1.00E-07,5.00E-07
2093.21,0.205082261,3.00E-06,1.00E-07,5.00E-07
2281.368,0.174393508,3.00E-06,1.00E-07,5.00E-07
2281.368,0.174393508,3.00E-06,1.00E-07,5.00E-07
2281.368,0.186017888,3.00E-06,1.00E-07,5.00E-07
2469.526,0.179270971,3.00E-06,1.00E-07,5.00E-07
2469.526,0.179270971,3.00E-06,1.00E-07,5.00E-07
2469.526,0.194583036,3.00E-06,1.00E-07,5.00E-07
2657.684,0.168266884,3.00E-06,1.00E-07,5.00E-07
2657.684,0.169828641,3.00E-06,1.00E-07,5.00E-07
2657.684,0.192693788,3.00E-06,1.00E-07,5.00E-07
2845.842,0.1501868,3.00E-06,1.00E-07,5.00E-07
2845.842,0.159672737,3.00E-06,1.00E-07,5.00E-07
2845.842,0.181854043,3.00E-06,1.00E-07,5.00E-07
0,0.51824274,5.00E-06,1.00E-07,5.00E-07
0,0.515394913,5.00E-06,1.00E-07,5.00E-07
0,0.501003344,5.00E-06,1.00E-07,5.00E-07
0,0.493589744,5.00E-06,1.00E-07,5.00E-07
151.63,0.542810985,5.00E-06,1.00E-07,5.00E-07
151.63,0.549367954,5.00E-06,1.00E-07,5.00E-07
211.63,0.474817378,5.00E-06,1.00E-07,5.00E-07
211.63,0.536708012,5.00E-06,1.00E-07,5.00E-07
279.788,0.474120083,5.00E-06,1.00E-07,5.00E-07
279.788,0.518367347,5.00E-06,1.00E-07,5.00E-07
399.788,0.466922339,5.00E-06,1.00E-07,5.00E-07
399.788,0.45979021,5.00E-06,1.00E-07,5.00E-07
407.946,0.404470079,5.00E-06,1.00E-07,5.00E-07
407.946,0.436386449,5.00E-06,1.00E-07,5.00E-07
536.104,0.329794763,5.00E-06,1.00E-07,5.00E-07
536.104,0.312045889,5.00E-06,1.00E-07,5.00E-07
587.946,0.302074404,5.00E-06,1.00E-07,5.00E-07
587.946,0.300382305,5.00E-06,1.00E-07,5.00E-07
664.262,0.2327252,5.00E-06,1.00E-07,5.00E-07
664.262,0.252503756,5.00E-06,1.00E-07,5.00E-07
776.104,0.207041904,5.00E-06,1.00E-07,5.00E-07
776.104,0.258093729,5.00E-06,1.00E-07,5.00E-07
792.42,0.219125332,5.00E-06,1.00E-07,5.00E-07
792.42,0.218922853,5.00E-06,1.00E-07,5.00E-07
920.578,0.186164043,5.00E-06,1.00E-07,5.00E-07
920.578,0.189191419,5.00E-06,1.00E-07,5.00E-07
964.262,0.224136351,5.00E-06,1.00E-07,5.00E-07
964.262,0.217501975,5.00E-06,1.00E-07,5.00E-07
1048.736,0.190971168,5.00E-06,1.00E-07,5.00E-07
1048.736,0.190259844,5.00E-06,1.00E-07,5.00E-07
1152.42,0.195296524,5.00E-06,1.00E-07,5.00E-07
1152.42,0.213995256,5.00E-06,1.00E-07,5.00E-07
1176.894,0.187622938,5.00E-06,1.00E-07,5.00E-07
1176.894,0.188872856,5.00E-06,1.00E-07,5.00E-07
1305.052,0.188210652,5.00E-06,1.00E-07,5.00E-07
1305.052,0.174433249,5.00E-06,1.00E-07,5.00E-07
1340.578,0.18420231,5.00E-06,1.00E-07,5.00E-07
1340.578,0.160384442,5.00E-06,1.00E-07,5.00E-07
1433.21,0.181353174,5.00E-06,1.00E-07,5.00E-07
1433.21,0.175326235,5.00E-06,1.00E-07,5.00E-07
1528.736,0.213262599,5.00E-06,1.00E-07,5.00E-07
1528.736,0.188986748,5.00E-06,1.00E-07,5.00E-07
1561.368,0.180640518,5.00E-06,1.00E-07,5.00E-07
1561.368,0.189090343,5.00E-06,1.00E-07,5.00E-07
1689.526,0.176954128,5.00E-06,1.00E-07,5.00E-07
1689.526,0.180237589,5.00E-06,1.00E-07,5.00E-07
1716.894,0.180660235,5.00E-06,1.00E-07,5.00E-07
1716.894,0.187415995,5.00E-06,1.00E-07,5.00E-07
1817.684,0.181267138,5.00E-06,1.00E-07,5.00E-07
1817.684,0.201631522,5.00E-06,1.00E-07,5.00E-07
1905.052,0.187430655,5.00E-06,1.00E-07,5.00E-07
1905.052,0.190023163,5.00E-06,1.00E-07,5.00E-07
1945.842,0.159089131,5.00E-06,1.00E-07,5.00E-07
1945.842,0.220641678,5.00E-06,1.00E-07,5.00E-07
2093.21,0.196768517,5.00E-06,1.00E-07,5.00E-07
2093.21,0.18438914,5.00E-06,1.00E-07,5.00E-07
2281.368,0.188588541,5.00E-06,1.00E-07,5.00E-07
2281.368,0.190550663,5.00E-06,1.00E-07,5.00E-07
2469.526,0.198371055,5.00E-06,1.00E-07,5.00E-07
2469.526,0.190379459,5.00E-06,1.00E-07,5.00E-07
2657.684,0.186761229,5.00E-06,1.00E-07,5.00E-07
2845.842,0.181881318,5.00E-06,1.00E-07,5.00E-07
2845.842,0.168382751,5.00E-06,1.00E-07,5.00E-07
0,0.600995025,7.00E-06,1.00E-07,5.00E-07
0,0.516233766,7.00E-06,1.00E-07,5.00E-07
151.63,0.554223433,7.00E-06,1.00E-07,5.00E-07
151.63,0.516339869,7.00E-06,1.00E-07,5.00E-07
279.788,0.480938416,7.00E-06,1.00E-07,5.00E-07
279.788,0.398382204,7.00E-06,1.00E-07,5.00E-07
407.946,0.288288288,7.00E-06,1.00E-07,5.00E-07
407.946,0.279243272,7.00E-06,1.00E-07,5.00E-07
536.104,0.25445705,7.00E-06,1.00E-07,5.00E-07
536.104,0.242740134,7.00E-06,1.00E-07,5.00E-07
664.262,0.198344526,7.00E-06,1.00E-07,5.00E-07
664.262,0.217293571,7.00E-06,1.00E-07,5.00E-07
792.42,0.21812596,7.00E-06,1.00E-07,5.00E-07
792.42,0.22547493,7.00E-06,1.00E-07,5.00E-07
920.578,0.20085752,7.00E-06,1.00E-07,5.00E-07
920.578,0.167169915,7.00E-06,1.00E-07,5.00E-07
1048.736,0.197755363,7.00E-06,1.00E-07,5.00E-07
1048.736,0.217448875,7.00E-06,1.00E-07,5.00E-07
1176.894,0.188297194,7.00E-06,1.00E-07,5.00E-07
1176.894,0.208876221,7.00E-06,1.00E-07,5.00E-07
1305.052,0.196004179,7.00E-06,1.00E-07,5.00E-07
1305.052,0.199743736,7.00E-06,1.00E-07,5.00E-07
1433.21,0.188142292,7.00E-06,1.00E-07,5.00E-07
1433.21,0.177423861,7.00E-06,1.00E-07,5.00E-07
1561.368,0.208295762,7.00E-06,1.00E-07,5.00E-07
1561.368,0.198524195,7.00E-06,1.00E-07,5.00E-07
1689.526,0.182276192,7.00E-06,1.00E-07,5.00E-07
1689.526,0.175860694,7.00E-06,1.00E-07,5.00E-07
1817.684,0.197123004,7.00E-06,1.00E-07,5.00E-07
1817.684,0.196254181,7.00E-06,1.00E-07,5.00E-07
1945.842,0.174586082,7.00E-06,1.00E-07,5.00E-07
1945.842,0.239425536,7.00E-06,1.00E-07,5.00E-07
0,0.517335146,1.00E-05,1.00E-07,5.00E-07
0,0.505786249,1.00E-05,1.00E-07,5.00E-07
0,0.521499449,1.00E-05,1.00E-07,5.00E-07
0,0.501116071,1.00E-05,1.00E-07,5.00E-07
151.63,0.488997555,1.00E-05,1.00E-07,5.00E-07
151.63,0.521161245,1.00E-05,1.00E-07,5.00E-07
151.63,0.516764236,1.00E-05,1.00E-07,5.00E-07
151.63,0.486191394,1.00E-05,1.00E-07,5.00E-07
279.788,0.335098336,1.00E-05,1.00E-07,5.00E-07
279.788,0.335249042,1.00E-05,1.00E-07,5.00E-07
279.788,0.353329334,1.00E-05,1.00E-07,5.00E-07
279.788,0.317123288,1.00E-05,1.00E-07,5.00E-07
407.946,0.212156978,1.00E-05,1.00E-07,5.00E-07
407.946,0.229257875,1.00E-05,1.00E-07,5.00E-07
407.946,0.209353368,1.00E-05,1.00E-07,5.00E-07
407.946,0.197263976,1.00E-05,1.00E-07,5.00E-07
536.104,0.187605825,1.00E-05,1.00E-07,5.00E-07
536.104,0.190665514,1.00E-05,1.00E-07,5.00E-07
536.104,0.186945501,1.00E-05,1.00E-07,5.00E-07
536.104,0.184266263,1.00E-05,1.00E-07,5.00E-07
664.262,0.174269095,1.00E-05,1.00E-07,5.00E-07
664.262,0.188887102,1.00E-05,1.00E-07,5.00E-07
664.262,0.179976926,1.00E-05,1.00E-07,5.00E-07
664.262,0.18271349,1.00E-05,1.00E-07,5.00E-07
792.42,0.177968045,1.00E-05,1.00E-07,5.00E-07
792.42,0.178884493,1.00E-05,1.00E-07,5.00E-07
792.42,0.188804071,1.00E-05,1.00E-07,5.00E-07
792.42,0.171706547,1.00E-05,1.00E-07,5.00E-07
920.578,0.198666667,1.00E-05,1.00E-07,5.00E-07
920.578,0.167122186,1.00E-05,1.00E-07,5.00E-07
920.578,0.164984136,1.00E-05,1.00E-07,5.00E-07
920.578,0.172113864,1.00E-05,1.00E-07,5.00E-07
1048.736,0.175730519,1.00E-05,1.00E-07,5.00E-07
1048.736,0.172487696,1.00E-05,1.00E-07,5.00E-07
1048.736,0.178965115,1.00E-05,1.00E-07,5.00E-07
1048.736,0.202870813,1.00E-05,1.00E-07,5.00E-07
1176.894,0.192963589,1.00E-05,1.00E-07,5.00E-07
1176.894,0.18494898,1.00E-05,1.00E-07,5.00E-07
1176.894,0.204932735,1.00E-05,1.00E-07,5.00E-07
1176.894,0.184674615,1.00E-05,1.00E-07,5.00E-07
1305.052,0.186110265,1.00E-05,1.00E-07,5.00E-07
1305.052,0.181833007,1.00E-05,1.00E-07,5.00E-07
1305.052,0.206246705,1.00E-05,1.00E-07,5.00E-07
1305.052,0.194757068,1.00E-05,1.00E-07,5.00E-07
1433.21,0.184738956,1.00E-05,1.00E-07,5.00E-07
1433.21,0.179931348,1.00E-05,1.00E-07,5.00E-07
1433.21,0.214172396,1.00E-05,1.00E-07,5.00E-07
1433.21,0.181222135,1.00E-05,1.00E-07,5.00E-07
1561.368,0.18142223,1.00E-05,1.00E-07,5.00E-07
1561.368,0.18238243,1.00E-05,1.00E-07,5.00E-07
1561.368,0.199716914,1.00E-05,1.00E-07,5.00E-07
1561.368,0.187660668,1.00E-05,1.00E-07,5.00E-07
1689.526,0.176028273,1.00E-05,1.00E-07,5.00E-07
1689.526,0.187629499,1.00E-05,1.00E-07,5.00E-07
1689.526,0.170837038,1.00E-05,1.00E-07,5.00E-07
1689.526,0.198107175,1.00E-05,1.00E-07,5.00E-07
1817.684,0.177195686,1.00E-05,1.00E-07,5.00E-07
1817.684,0.175996349,1.00E-05,1.00E-07,5.00E-07
1817.684,0.200797342,1.00E-05,1.00E-07,5.00E-07
1817.684,0.206181482,1.00E-05,1.00E-07,5.00E-07
1945.842,0.155908318,1.00E-05,1.00E-07,5.00E-07
1945.842,0.165135416,1.00E-05,1.00E-07,5.00E-07
1945.842,0.164716472,1.00E-05,1.00E-07,5.00E-07
1945.842,0.197755961,1.00E-05,1.00E-07,5.00E-07