Time,FRET,Error,Enzyme,Replicate,RNA,DNA
0.0,0.465832531280077,0,0.0,1,1e-07,5e-07
0.0,0.4970472440944882,0,0.0,1,1e-07,5e-07
0.0,0.4474560152163576,0,0.0,1,1e-07,5e-07
0.0,0.4691431995206711,0,0.0,1,1e-07,5e-07
0.0,0.4971687429218573,0,0.0,1,1e-07,5e-07
0.0,0.46795270690728064,0,0.0,1,1e-07,5e-07
151.63,0.5106598984771573,0,0.0,1,1e-07,5e-07
151.63,0.5137420718816068,0,0.0,1,1e-07,5e-07
151.63,0.5313908080504656,0,0.0,1,1e-07,5e-07
151.63,0.5348529897588371,0,0.0,1,1e-07,5e-07
151.63,0.5043668122270742,0,0.0,1,1e-07,5e-07
151.63,0.5055123216601816,0,0.0,1,1e-07,5e-07
279.788,0.496735308890005,0,0.0,1,1e-07,5e-07
279.788,0.496735308890005,0,0.0,1,1e-07,5e-07
279.788,0.5427799459621735,0,0.0,1,1e-07,5e-07
279.788,0.5435863440503812,0,0.0,1,1e-07,5e-07
279.788,0.5068574836016696,0,0.0,1,1e-07,5e-07
279.788,0.5227882037533512,0,0.0,1,1e-07,5e-07
407.946,0.5352676338169085,0,0.0,1,1e-07,5e-07
407.946,0.542089552238806,0,0.0,1,1e-07,5e-07
407.946,0.5481622306717364,0,0.0,1,1e-07,5e-07
407.946,0.5703851261620186,0,0.0,1,1e-07,5e-07
407.946,0.5448062015503876,0,0.0,1,1e-07,5e-07
407.946,0.5350658597365611,0,0.0,1,1e-07,5e-07
536.104,0.5072886297376094,0,0.0,1,1e-07,5e-07
536.104,0.5065075921908894,0,0.0,1,1e-07,5e-07
536.104,0.56070826306914,0,0.0,1,1e-07,5e-07
536.104,0.4993127147766323,0,0.0,1,1e-07,5e-07
536.104,0.4941564279292778,0,0.0,1,1e-07,5e-07
536.104,0.5228821811100293,0,0.0,1,1e-07,5e-07
664.262,0.49790136411332636,0,0.0,1,1e-07,5e-07
664.262,0.5381799163179917,0,0.0,1,1e-07,5e-07
664.262,0.538893818396924,0,0.0,1,1e-07,5e-07
664.262,0.5226615236258437,0,0.0,1,1e-07,5e-07
664.262,0.5154782608695652,0,0.0,1,1e-07,5e-07
664.262,0.5154782608695652,0,0.0,1,1e-07,5e-07
792.42,0.5145772594752187,0,0.0,1,1e-07,5e-07
792.42,0.4972943722943723,0,0.0,1,1e-07,5e-07
792.42,0.5273091221046612,0,0.0,1,1e-07,5e-07
792.42,0.49159802306425043,0,0.0,1,1e-07,5e-07
792.42,0.5327635327635327,0,0.0,1,1e-07,5e-07
792.42,0.532230847114411,0,0.0,1,1e-07,5e-07
920.578,0.5012556504269211,0,0.0,1,1e-07,5e-07
920.578,0.5096203848153926,0,0.0,1,1e-07,5e-07
920.578,0.5406121247792819,0,0.0,1,1e-07,5e-07
920.578,0.540241448692153,0,0.0,1,1e-07,5e-07
920.578,0.5292085427135679,0,0.0,1,1e-07,5e-07
920.578,0.531018206338503,0,0.0,1,1e-07,5e-07
1048.736,0.47630799605133267,0,0.0,1,1e-07,5e-07
1048.736,0.5168367346938776,0,0.0,1,1e-07,5e-07
1048.736,0.548642878926502,0,0.0,1,1e-07,5e-07
1048.736,0.504957264957265,0,0.0,1,1e-07,5e-07
1048.736,0.5310608474036317,0,0.0,1,1e-07,5e-07
1048.736,0.5241855873642646,0,0.0,1,1e-07,5e-07
1176.894,0.5030800821355236,0,0.0,1,1e-07,5e-07
1176.894,0.5170984455958549,0,0.0,1,1e-07,5e-07
1176.894,0.5524280853696257,0,0.0,1,1e-07,5e-07
1176.894,0.5136317738135308,0,0.0,1,1e-07,5e-07
1176.894,0.5369662205226259,0,0.0,1,1e-07,5e-07
1176.894,0.5416093535075653,0,0.0,1,1e-07,5e-07
1305.052,0.5525739320920043,0,0.0,1,1e-07,5e-07
1305.052,0.553082191780822,0,0.0,1,1e-07,5e-07
1305.052,0.5588526211671613,0,0.0,1,1e-07,5e-07
1305.052,0.5568053993250843,0,0.0,1,1e-07,5e-07
1305.052,0.5301055245189323,0,0.0,1,1e-07,5e-07
1305.052,0.5236167341430499,0,0.0,1,1e-07,5e-07
1433.21,0.5288707204905467,0,0.0,1,1e-07,5e-07
1433.21,0.5404011461318051,0,0.0,1,1e-07,5e-07
1433.21,0.5648929266709929,0,0.0,1,1e-07,5e-07
1433.21,0.5567514677103719,0,0.0,1,1e-07,5e-07
1433.21,0.5214489990467112,0,0.0,1,1e-07,5e-07
1433.21,0.5204114432658309,0,0.0,1,1e-07,5e-07
1561.368,0.5235772357723577,0,0.0,1,1e-07,5e-07
1561.368,0.5279081898800209,0,0.0,1,1e-07,5e-07
1561.368,0.5778061224489796,0,0.0,1,1e-07,5e-07
1561.368,0.5572207084468664,0,0.0,1,1e-07,5e-07
1561.368,0.5021250758955677,0,0.0,1,1e-07,5e-07
1561.368,0.49752168525402723,0,0.0,1,1e-07,5e-07
1689.526,0.49318403115871473,0,0.0,1,1e-07,5e-07
1689.526,0.525599128540305,0,0.0,1,1e-07,5e-07
1689.526,0.5681674064679771,0,0.0,1,1e-07,5e-07
1689.526,0.5266622778143516,0,0.0,1,1e-07,5e-07
1689.526,0.5005813953488372,0,0.0,1,1e-07,5e-07
1689.526,0.46634323832625835,0,0.0,1,1e-07,5e-07
1817.684,0.48126520681265206,0,0.0,1,1e-07,5e-07
1817.684,0.48126520681265206,0,0.0,1,1e-07,5e-07
1817.684,0.5285714285714286,0,0.0,1,1e-07,5e-07
1817.684,0.4838809671419715,0,0.0,1,1e-07,5e-07
1817.684,0.48324933293803735,0,0.0,1,1e-07,5e-07
1817.684,0.48324933293803735,0,0.0,1,1e-07,5e-07
1945.842,0.4671903881700554,0,0.0,1,1e-07,5e-07
1945.842,0.49691675231243576,0,0.0,1,1e-07,5e-07
1945.842,0.46350762527233114,0,0.0,1,1e-07,5e-07
1945.842,0.4509297520661157,0,0.0,1,1e-07,5e-07
1945.842,0.48324933293803735,0,0.0,1,1e-07,5e-07
1945.842,0.48324933293803735,0,0.0,1,1e-07,5e-07
0.0,0.527027027027027,0,2e-06,1,1e-07,5e-07
0.0,0.4983164983164983,0,2e-06,1,1e-07,5e-07
0.0,0.4813966800228964,0,2e-06,1,1e-07,5e-07
0.0,0.5163398692810458,0,2e-06,1,1e-07,5e-07
211.63,0.4980905619203492,0,2e-06,1,1e-07,5e-07
211.63,0.5082938388625592,0,2e-06,1,1e-07,5e-07
211.63,0.49332542272322755,0,2e-06,1,1e-07,5e-07
211.63,0.5138847417139445,0,2e-06,1,1e-07,5e-07
399.788,0.4485960645589211,0,2e-06,1,1e-07,5e-07
399.788,0.39852304558186913,0,2e-06,1,1e-07,5e-07
399.788,0.5443698732289336,0,2e-06,1,1e-07,5e-07
399.788,0.45107708279262915,0,2e-06,1,1e-07,5e-07
587.946,0.3208993357179356,0,2e-06,1,1e-07,5e-07
587.946,0.3583974738504046,0,2e-06,1,1e-07,5e-07
587.946,0.4187192118226601,0,2e-06,1,1e-07,5e-07
587.946,0.37272727272727274,0,2e-06,1,1e-07,5e-07
776.104,0.2700507614213198,0,2e-06,1,1e-07,5e-07
776.104,0.27579308373821093,0,2e-06,1,1e-07,5e-07
776.104,0.3618042226487524,0,2e-06,1,1e-07,5e-07
776.104,0.30476710334788937,0,2e-06,1,1e-07,5e-07
964.262,0.24248434237995825,0,2e-06,1,1e-07,5e-07
964.262,0.24957942802211006,0,2e-06,1,1e-07,5e-07
964.262,0.2877736978104175,0,2e-06,1,1e-07,5e-07
964.262,0.2722422494592646,0,2e-06,1,1e-07,5e-07
1152.42,0.2074105621805792,0,2e-06,1,1e-07,5e-07
1152.42,0.22134346754313886,0,2e-06,1,1e-07,5e-07
1152.42,0.4065651572078307,0,2e-06,1,1e-07,5e-07
1152.42,0.2327923894795747,0,2e-06,1,1e-07,5e-07
1340.578,0.20510741791649778,0,2e-06,1,1e-07,5e-07
1340.578,0.20110749758284258,0,2e-06,1,1e-07,5e-07
1340.578,0.24178403755868544,0,2e-06,1,1e-07,5e-07
1340.578,0.22940573770491804,0,2e-06,1,1e-07,5e-07
1528.736,0.1943511896073566,0,2e-06,1,1e-07,5e-07
1528.736,0.1794188861985472,0,2e-06,1,1e-07,5e-07
1528.736,0.2614498319731157,0,2e-06,1,1e-07,5e-07
1528.736,0.20914494741655235,0,2e-06,1,1e-07,5e-07
1716.894,0.19086771399207164,0,2e-06,1,1e-07,5e-07
1716.894,0.18660287081339713,0,2e-06,1,1e-07,5e-07
1716.894,0.20811969404051442,0,2e-06,1,1e-07,5e-07
1716.894,0.1989652355450667,0,2e-06,1,1e-07,5e-07
1905.052,0.19581998252257501,0,2e-06,1,1e-07,5e-07
1905.052,0.24930362116991645,0,2e-06,1,1e-07,5e-07
1905.052,0.43461608608426044,0,2e-06,1,1e-07,5e-07
1905.052,0.19018719548679375,0,2e-06,1,1e-07,5e-07
2093.21,0.19012456179607667,0,2e-06,1,1e-07,5e-07
2093.21,0.17915569387917962,0,2e-06,1,1e-07,5e-07
2093.21,0.2063529784537389,0,2e-06,1,1e-07,5e-07
2093.21,0.19588414634146342,0,2e-06,1,1e-07,5e-07
2281.368,0.19761990623873063,0,2e-06,1,1e-07,5e-07
2281.368,0.2288927178743085,0,2e-06,1,1e-07,5e-07
2281.368,0.17772397094430992,0,2e-06,1,1e-07,5e-07
2281.368,0.20824777549623547,0,2e-06,1,1e-07,5e-07
2469.526,0.22137823022709474,0,2e-06,1,1e-07,5e-07
2469.526,0.18539915966386555,0,2e-06,1,1e-07,5e-07
2469.526,0.19676507537688442,0,2e-06,1,1e-07,5e-07
2469.526,0.1993649732620321,0,2e-06,1,1e-07,5e-07
2657.684,0.1699113577996852,0,2e-06,1,1e-07,5e-07
2657.684,0.15904220627969812,0,2e-06,1,1e-07,5e-07
2657.684,0.19134863919720238,0,2e-06,1,1e-07,5e-07
2657.684,0.19287294563843235,0,2e-06,1,1e-07,5e-07
2845.842,0.1981775077789302,0,2e-06,1,1e-07,5e-07
2845.842,0.19111913357400723,0,2e-06,1,1e-07,5e-07
2845.842,0.19703838017527955,0,2e-06,1,1e-07,5e-07
2845.842,0.1975250626566416,0,2e-06,1,1e-07,5e-07
0.0,0.481888745148771,0,3e-06,1,1e-07,5e-07
0.0,0.4715291106845809,0,3e-06,1,1e-07,5e-07
0.0,0.4546640574037834,0,3e-06,1,1e-07,5e-07
0.0,0.4425322679778734,0,3e-06,1,1e-07,5e-07
211.63,0.46372430471584036,0,3e-06,1,1e-07,5e-07
211.63,0.4752365052865888,0,3e-06,1,1e-07,5e-07
211.63,0.4592153542195879,0,3e-06,1,1e-07,5e-07
211.63,0.45354040536983414,0,3e-06,1,1e-07,5e-07
399.788,0.3541036968146943,0,3e-06,1,1e-07,5e-07
399.788,0.35432724069588195,0,3e-06,1,1e-07,5e-07
399.788,0.3961331901181525,0,3e-06,1,1e-07,5e-07
399.788,0.3905408569421681,0,3e-06,1,1e-07,5e-07
587.946,0.3105130361648444,0,3e-06,1,1e-07,5e-07
587.946,0.2929119073697387,0,3e-06,1,1e-07,5e-07
587.946,0.3435734463276836,0,3e-06,1,1e-07,5e-07
587.946,0.2954930532023043,0,3e-06,1,1e-07,5e-07
776.104,0.23650615901455768,0,3e-06,1,1e-07,5e-07
776.104,0.23209039548022597,0,3e-06,1,1e-07,5e-07
776.104,0.24227661596958175,0,3e-06,1,1e-07,5e-07
776.104,0.2441681620097411,0,3e-06,1,1e-07,5e-07
964.262,0.19778236204228983,0,3e-06,1,1e-07,5e-07
964.262,0.203818746574091,0,3e-06,1,1e-07,5e-07
964.262,0.22894655862139707,0,3e-06,1,1e-07,5e-07
964.262,0.2349329786145503,0,3e-06,1,1e-07,5e-07
1152.42,0.190480012843153,0,3e-06,1,1e-07,5e-07
1152.42,0.2005203961725701,0,3e-06,1,1e-07,5e-07
1152.42,0.19943748401943237,0,3e-06,1,1e-07,5e-07
1152.42,0.2125233811347644,0,3e-06,1,1e-07,5e-07
1340.578,0.19437486581263866,0,3e-06,1,1e-07,5e-07
1340.578,0.1893554020195885,0,3e-06,1,1e-07,5e-07
1340.578,0.20342830306825296,0,3e-06,1,1e-07,5e-07
1340.578,0.2027359108781127,0,3e-06,1,1e-07,5e-07
1528.736,0.1685995302407516,0,3e-06,1,1e-07,5e-07
1528.736,0.1870626525630594,0,3e-06,1,1e-07,5e-07
1528.736,0.19859539602028872,0,3e-06,1,1e-07,5e-07
1528.736,0.19658834350698218,0,3e-06,1,1e-07,5e-07
1716.894,0.1786946322616255,0,3e-06,1,1e-07,5e-07
1716.894,0.1757202881152461,0,3e-06,1,1e-07,5e-07
1716.894,0.19177036414993512,0,3e-06,1,1e-07,5e-07
1716.894,0.2038957753604857,0,3e-06,1,1e-07,5e-07
1905.052,0.17774268845256075,0,3e-06,1,1e-07,5e-07
1905.052,0.18043020457280384,0,3e-06,1,1e-07,5e-07
1905.052,0.1973156559456584,0,3e-06,1,1e-07,5e-07
1905.052,0.20334116418689638,0,3e-06,1,1e-07,5e-07
2093.21,0.17682206628222052,0,3e-06,1,1e-07,5e-07
2093.21,0.1793202634168496,0,3e-06,1,1e-07,5e-07
2093.21,0.187000319795331,0,3e-06,1,1e-07,5e-07
2093.21,0.20061676946157692,0,3e-06,1,1e-07,5e-07
2281.368,0.16691481858788496,0,3e-06,1,1e-07,5e-07
2281.368,0.18644986449864498,0,3e-06,1,1e-07,5e-07
2281.368,0.204920686306248,0,3e-06,1,1e-07,5e-07
2281.368,0.20585215605749488,0,3e-06,1,1e-07,5e-07
2469.526,0.17762074643249176,0,3e-06,1,1e-07,5e-07
2469.526,0.18116572422792518,0,3e-06,1,1e-07,5e-07
2469.526,0.19642579642579644,0,3e-06,1,1e-07,5e-07
2469.526,0.19841782370035518,0,3e-06,1,1e-07,5e-07
2657.684,0.13105595750526605,0,3e-06,1,1e-07,5e-07
2657.684,0.13918594047915112,0,3e-06,1,1e-07,5e-07
2657.684,0.18088710919451717,0,3e-06,1,1e-07,5e-07
2657.684,0.19369941279162037,0,3e-06,1,1e-07,5e-07
2845.842,0.17720568150778476,0,3e-06,1,1e-07,5e-07
2845.842,0.17805081216159932,0,3e-06,1,1e-07,5e-07
2845.842,0.17083946980854198,0,3e-06,1,1e-07,5e-07
2845.842,0.17083946980854198,0,3e-06,1,1e-07,5e-07
0.0,0.45912722802704364,0,5e-06,1,1e-07,5e-07
0.0,0.4692063492063492,0,5e-06,1,1e-07,5e-07
0.0,0.4516728624535316,0,5e-06,1,1e-07,5e-07
0.0,0.4169202678027998,0,5e-06,1,1e-07,5e-07
0.0,0.5045648204503956,0,5e-06,1,1e-07,5e-07
0.0,0.45755568934376883,0,5e-06,1,1e-07,5e-07
151.63,0.5262345679012346,0,5e-06,1,1e-07,5e-07
151.63,0.529504080351538,0,5e-06,1,1e-07,5e-07
211.63,0.4391124871001032,0,5e-06,1,1e-07,5e-07
211.63,0.4436542669584245,0,5e-06,1,1e-07,5e-07
211.63,0.44906394359348406,0,5e-06,1,1e-07,5e-07
211.63,0.4249056603773585,0,5e-06,1,1e-07,5e-07
279.788,0.509765625,0,5e-06,1,1e-07,5e-07
279.788,0.5496840896036761,0,5e-06,1,1e-07,5e-07
399.788,0.30709555345316936,0,5e-06,1,1e-07,5e-07
399.788,0.3149381541389153,0,5e-06,1,1e-07,5e-07
399.788,0.35948869223205504,0,5e-06,1,1e-07,5e-07
399.788,0.37304142519854044,0,5e-06,1,1e-07,5e-07
